Groupe,score_iq
1.00,44.00
1.00,40.00
1.00,44.00
1.00,39.00
1.00,25.00
1.00,37.00
1.00,31.00
1.00,40.00
1.00,22.00
1.00,34.00
1.00,39.00
1.00,20.00
1.00,39.00
1.00,42.00
1.00,41.00
2.00,36.00
2.00,40.00
2.00,37.00
2.00,35.00
2.00,39.00
2.00,40.00
2.00,36.00
2.00,38.00
2.00,24.00
2.00,27.00
2.00,29.00
2.00,24.00
2.00,45.00
2.00,44.00
2.00,44.00
3.00,52.00
3.00,50.00
3.00,51.00
3.00,52.00
3.00,45.00
3.00,49.00
3.00,47.00
3.00,46.00
3.00,47.00
3.00,47.00
3.00,46.00
3.00,45.00
3.00,50.00
3.00,47.00
3.00,49.00
